symbol,underlying_symbol,strike,expiration_date,contract_type,implied_volatility,open_interest,volume,bid,ask,last_price,market_price,underlying_price,risk_free_rate,fetch_timestamp,time_to_expiry,moneyness
SPY20250825C00530000,SPY,530.0,2025-08-25,call,0.8090839404296875,11.0,,104.73,107.53,115.44,106.13,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.519747,0.00821917808219178,1.199150920364092
SPY20250825C00550000,SPY,550.0,2025-08-25,call,0.6694368994140626,2.0,,84.74,87.54,94.03,86.14,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.534469,0.00821917808219178,1.1555454323508523
SPY20250825C00570000,SPY,570.0,2025-08-25,call,0.532231240234375,2.0,,64.76,67.56,72.87,66.16,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.535519,0.00821917808219178,1.1149999785841558
SPY20250825C00580000,SPY,580.0,2025-08-25,call,0.6080361462402344,3.0,1.0,54.77,57.58,55.87,56.175,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.09577584102236
SPY20250825C00590000,SPY,590.0,2025-08-25,call,0.5230760583496092,1.0,5.0,44.79,47.59,46.69,46.19,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.077203369140625
SPY20250825C00600000,SPY,600.0,2025-08-25,call,0.35742830078125,25.0,17.0,34.81,36.55,36.32,35.68,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.059249979654948
SPY20250825C00605000,SPY,605.0,2025-08-25,call,0.3934386828613281,3.0,3.0,29.83,32.63,31.33,31.23,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.050495847591684
SPY20250825C00608000,SPY,608.0,2025-08-25,call,0.3668276208496094,3.0,1.0,26.84,29.64,36.11,28.240000000000002,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.0453124799226459
SPY20250825C00609000,SPY,609.0,2025-08-25,call,0.3541324353027343,19.0,80.0,25.85,28.58,27.3,27.215,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.0435960390689143
SPY20250825C00610000,SPY,610.0,2025-08-25,call,0.25928475097656256,21.0,14.0,26.18,26.32,26.25,26.25,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.0418852258901128
SPY20250825C00612000,SPY,612.0,2025-08-25,call,0.24536887451171874,6.0,2.0,24.2,24.34,23.13,24.27,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.0384803722107332
SPY20250825C00614000,SPY,614.0,2025-08-25,call,0.2318192053222656,15.0,1.0,22.23,22.37,21.25,22.3,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.0350976999885484
SPY20250825C00615000,SPY,615.0,2025-08-25,call,0.22449505981445309,5.0,10.0,21.25,21.38,21.72,21.314999999999998,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.0334146142975102
SPY20250825C00618000,SPY,618.0,2025-08-25,call,0.2054522814941406,11.0,15.0,18.34,18.46,19.05,18.4,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.537656,0.00821917808219178,1.0283980384999494
SPY20250825C00619000,SPY,619.0,2025-08-25,call,0.1997150341796875,11.0,1.0,17.38,17.5,17.14,17.439999999999998,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.551100,0.00821917808219178,1.0267366523311288
SPY20250826C00540000,SPY,540.0,2025-08-26,call,0.6899445068359377,3.0,4.0,94.81,97.62,94.91,96.215,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.813313,0.010958904109589041,1.176944421838831
SPY20250826C00560000,SPY,560.0,2025-08-26,call,0.5627485131835939,5.0,,74.84,77.64,84.2,76.24000000000001,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.814312,0.010958904109589041,1.1349106924874441
SPY20250826C00575000,SPY,575.0,2025-08-26,call,0.600712000732422,1.0,1.0,59.86,62.67,61.18,61.265,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.815387,0.010958904109589041,1.1053043265964675
SPY20250826C00585000,SPY,585.0,2025-08-26,call,0.5230760583496092,1.0,2.0,49.88,52.68,50.05,51.28,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.815387,0.010958904109589041,1.0864102355435363
SPY20250826C00590000,SPY,590.0,2025-08-26,call,0.48413601806640627,2.0,1.0,44.89,47.69,51.67,46.29,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.818038,0.010958904109589041,1.077203369140625
SPY20250826C00595000,SPY,595.0,2025-08-26,call,0.445318046875,0.0,1.0,39.9,42.71,41.92,41.305,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.820101,0.010958904109589041,1.0681512399881827
SPY20250826C00605000,SPY,605.0,2025-08-26,call,0.3663393444824219,9.0,7.0,29.95,32.76,36.68,31.354999999999997,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.821122,0.010958904109589041,1.050495847591684
SPY20250826C00615000,SPY,615.0,2025-08-26,call,0.2186357434082031,18.0,41.0,21.46,21.59,22.88,21.525,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824106,0.010958904109589041,1.0334146142975102
SPY20250826C00618000,SPY,618.0,2025-08-26,call,0.20276676147460934,2.0,1.0,18.6,18.72,18.81,18.66,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824986,0.010958904109589041,1.0283980384999494
SPY20250826C00619000,SPY,619.0,2025-08-26,call,0.19849434326171872,2.0,1.0,17.66,17.79,16.72,17.725,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824986,0.010958904109589041,1.0267366523311288
SPY20250826C00620000,SPY,620.0,2025-08-26,call,0.19391675231933597,23.0,4.0,16.73,16.86,16.58,16.795,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824986,0.010958904109589041,1.0250806254725302
SPY20250826C00621000,SPY,621.0,2025-08-26,call,0.18946123046875002,2.0,9.0,15.82,15.94,15.96,15.879999999999999,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824986,0.010958904109589041,1.023429932033766
SPY20250826C00622000,SPY,622.0,2025-08-26,call,0.18518881225585934,3.0,1.0,14.91,15.03,18.99,14.969999999999999,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824986,0.010958904109589041,1.0217845462909465
SPY20250826C00624000,SPY,624.0,2025-08-26,call,0.17682707946777343,4.0,19.0,13.14,13.24,13.37,13.190000000000001,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824986,0.010958904109589041,1.0185095958220654
SPY20250826C00625000,SPY,625.0,2025-08-26,call,0.1729819030761719,15.0,15.0,12.27,12.37,12.12,12.32,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.824986,0.010958904109589041,1.01687998046875
SPY20250827C00585000,SPY,585.0,2025-08-27,call,0.49121602539062503,2.0,,49.99,52.79,59.4,51.39,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.911636,0.0136986301369863,1.0864102355435363
SPY20250827C00590000,SPY,590.0,2025-08-27,call,0.45532771240234376,4.0,,45.0,47.81,54.45,46.405,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.911636,0.0136986301369863,1.077203369140625
SPY20250827C00605000,SPY,605.0,2025-08-27,call,0.34766277343749996,22.0,1.0,30.12,32.93,31.68,31.525,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.912637,0.0136986301369863,1.050495847591684
SPY20250827C00610000,SPY,610.0,2025-08-27,call,0.24658956542968752,71.0,17.0,26.48,26.74,26.3,26.61,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.913635,0.0136986301369863,1.0418852258901128
SPY20250827C00615000,SPY,615.0,2025-08-27,call,0.22034471069335934,3.0,4.0,21.78,21.92,23.14,21.85,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.914636,0.0136986301369863,1.0334146142975102
SPY20250827C00618000,SPY,618.0,2025-08-27,call,0.20771055969238278,8.0,8.0,19.0,19.13,17.79,19.064999999999998,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.914636,0.0136986301369863,1.0283980384999494
SPY20250827C00620000,SPY,620.0,2025-08-27,call,0.19977606872558595,21.0,13.0,17.18,17.31,16.78,17.244999999999997,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.915632,0.0136986301369863,1.0250806254725302
SPY20250827C00624000,SPY,624.0,2025-08-27,call,0.1848226049804687,9.0,8.0,13.68,13.79,13.79,13.735,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.915632,0.0136986301369863,1.0185095958220654
SPY20250827C00625000,SPY,625.0,2025-08-27,call,0.18122156677246093,14.0,21.0,12.84,12.94,12.82,12.89,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.916632,0.0136986301369863,1.01687998046875
SPY20250827C00630000,SPY,630.0,2025-08-27,call,0.16364361755371098,112.0,43.0,8.85,8.92,8.7,8.885,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.917600,0.0136986301369863,1.0088095044332837
SPY20250827C00632000,SPY,632.0,2025-08-27,call,0.1568687829589844,39.0,272.0,7.39,7.45,7.24,7.42,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.919400,0.0136986301369863,1.005617069292672
SPY20250827C00635000,SPY,635.0,2025-08-27,call,0.14643187561035154,637.0,1605.0,5.39,5.42,5.3,5.404999999999999,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.920332,0.0136986301369863,1.0008661225086122
SPY20250827C00637000,SPY,637.0,2025-08-27,call,0.1399622137451172,679.0,1143.0,4.21,4.23,4.14,4.220000000000001,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.922407,0.0136986301369863,0.9977236857032477
SPY20250827C00638000,SPY,638.0,2025-08-27,call,0.13691048645019532,1892.0,3453.0,3.67,3.69,3.61,3.6799999999999997,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.924347,0.0136986301369863,0.9961598554748726
SPY20250827C00639000,SPY,639.0,2025-08-27,call,0.13391979370117188,1130.0,844.0,3.17,3.19,3.17,3.1799999999999997,635.5499877929688,0.041279997825622555,2025-08-21 17:43:29.924763,0.0136986301369863,0.9946009198638008
